fileid|datesaved|posttitle|artist|song
642635|9/24/2008 0:22|Birthday Boss - Bruce at the Shrine|Bruce Springsteen|Red Headed Woman
642636|9/24/2008 0:22|Birthday Boss - Bruce at the Shrine|Bruce Springsteen|Brilliant Disguise
642638|9/24/2008 0:23|Inbox Wednesday - Good, Better, Best|Nancy|Keep Cooler (Born Ruffians remix)
642637|9/24/2008 0:23|Inbox Wednesday - Good, Better, Best|Nancy|Keep Cooler
642640|9/24/2008 0:24|Inbox Wednesday - Good, Better, Best|We Plants Are Happy Plants|UITC
642639|9/24/2008 0:24|Inbox Wednesday - Good, Better, Best|The Legends|Seconds away
642641|9/24/2008 0:27|don't let it bother me|Invisible Conga People|Cable Dazed
642642|9/24/2008 0:28|don't let it bother me|Banjo or Freakout|Cable Dazed (Invisible Conga People Cover)
642643|9/24/2008 0:29|MP3 Truffles: Minds Renewed |Hilton Sutton|Intellectualism
642644|9/24/2008 0:31|MP3 Truffles: Minds Renewed |Carol Nelson|I Will Survive
642645|9/24/2008 0:31|MP3 Truffles: Minds Renewed |Hilton Sutton|WW2
642646|9/24/2008 0:31|MP3 Truffles: Minds Renewed |Hazy Osterwald Jet Set|Tai-Weh
642647|9/24/2008 0:32|MP3 Truffles: Minds Renewed |King Horror|Reggae, Loch Ness Monster
642648|9/24/2008 0:32|MP3 Truffles: Minds Renewed |Hazy Osterwald Jet Set|The Power Of the Lord
642649|9/24/2008 0:33|MP3 Truffles: Minds Renewed |Carol Nelson|My Happiness
642650|9/24/2008 0:33|MP3 Truffles: Minds Renewed |Hilton Sutton|I Will Destroy Them Economically
642651|9/24/2008 0:34|MP3 Truffles: Minds Renewed |The Vampires|China, Han Yu Qu (Chilling Rain Song)
642652|9/24/2008 0:34|MP3 Truffles: Minds Renewed |Tom Wilson|All American Boy
642653|9/24/2008 0:34|MP3 Truffles: Minds Renewed |George Van Dusen|The Yodeling Chinaman
642654|9/24/2008 0:34|MP3 Truffles: Minds Renewed |Steinski & Mass Media|Let's Play It Cool (Club Mix)
642656|9/24/2008 0:35|MP3 Truffles: Minds Renewed |The Electric Moog Orchestra|Space Symphony
642655|9/24/2008 0:35|MP3 Truffles: Minds Renewed |Hazy Osterwald Jet Set|Putz Den Schmutz Von Der Welt
642658|9/24/2008 0:36|MP3 Truffles: Minds Renewed |Hazy Osterwald Jet Set|New Mexico
642657|9/24/2008 0:36|Rub A Dub Dub…|pure silk featuring the blackstones|rub a dub
642659|9/24/2008 0:37|Kyle Andrews|Kyle Andrews|Naked In New York
642660|9/24/2008 0:38|Avrosse|Mick Willow|Chicago (Avrosse Remix)
642661|9/24/2008 0:38|Kyle Andrews|Kyle Andrews|Blow It Out
642662|9/24/2008 0:39|Tm Juke and the Jack Baker Trio.|TM Juke & The Jack Baker Trio|TRUCD174_09_Fortune_Favours_The_Bold
642663|9/24/2008 0:39|The GoStation|The GoStation|All Together Now
642664|9/24/2008 0:43|What do Passion Pit, Piano Creeps, YELLE and the Great Northwest all have in common?|The Great Northwest|chief john
642666|9/24/2008 0:48|song is over by sleepy pete|songis|over
642665|9/24/2008 0:48|Madame Shredder|Marnie Stern|The Package Is Wrapped
642667|9/24/2008 0:49|Portugal. The Man|Portugal The Man|Lay Me Back Down
642668|9/24/2008 0:50|The Beijing Tangs|The Beijing Tangs|Faster Than The Dream
642669|9/24/2008 1:12|Heltah Skeltah - D.I.R.T. / audio|Heltah Skeltah MASTER|D.I.R.T. (Another Boot Camp YEAH Song)
642670|9/24/2008 1:13|"Static of the Gods - Brand New Demo! - True North"""""|Static of the Gods|True North
642671|9/24/2008 1:15|Anything they touch will turn to gold?|CSS|Left Behind (Midnight Juggernauts Remix)
642672|9/24/2008 1:16|Anything they touch will turn to gold?|Usher|Love In This Club (MSTRKRFT Remix)
642673|9/24/2008 1:19|Matt and Kim: Daylight|Matt And Kim|Yea Yeah
642674|9/24/2008 1:25|Matt and Kim: Daylight|Matt and Kim|Daylight
642675|9/24/2008 1:26|BOS Presents : NY vs PHL at The M Room With Cheers Elephant,Butane Variations,Creeping Weeds, and I Am The Heat|Creeping Weeds|(I'm a) Donkey for Your Love (BOAT cover)
642676|9/24/2008 1:27|BOS Presents : NY vs PHL at The M Room With Cheers Elephant,Butane Variations,Creeping Weeds, and I Am The Heat|Cheers Elephant|Cocaine
642677|9/24/2008 1:27|BOS Presents : NY vs PHL at The M Room With Cheers Elephant,Butane Variations,Creeping Weeds, and I Am The Heat|I am the Heat|What Would Lou Reed Do
642678|9/24/2008 1:27|BOS Presents : NY vs PHL at The M Room With Cheers Elephant,Butane Variations,Creeping Weeds, and I Am The Heat|Creeping Weeds|Eternity Is A Long Time
642679|9/24/2008 1:28|BOS Presents : NY vs PHL at The M Room With Cheers Elephant,Butane Variations,Creeping Weeds, and I Am The Heat|Butane Variations|Airforce One
642680|9/24/2008 1:29|BOS Presents : NY vs PHL at The M Room With Cheers Elephant,Butane Variations,Creeping Weeds, and I Am The Heat|Butane Variation|Daytrotter Sessions, Jackie
642682|9/24/2008 2:14||White Lies|White Lies, Death (Crystal Castles Remix)
642681|9/24/2008 2:14||White Lies|Black Song
642683|9/24/2008 2:15|Ratatat- Shempi (Zongamin Remix)|Ratatat|Shempi (Zongamin Remix)
642684|9/24/2008 2:15|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Keep The Devil Down
642685|9/24/2008 2:16|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|pre-encore crowd
642686|9/24/2008 2:31|Madlib / WLIB AM: King of the Wigflip|Madlib ft. Talib Kweli|What It Do f. Talib Kweli
642687|9/24/2008 2:31|Audio Roundup: TRIVIUM album stream; MUDVAYNE samples, GOD FORBID Remix; Listen to DOOMRIDERS|Doomriders|Black Thunder
642689|9/24/2008 2:33|MGMT + True Pseudo|MGMT|Electric Feel (True Pseudo Remix)
642691|9/24/2008 2:34|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Shimmy She Wobble  Station Blues  Preachin' Blues
642693|9/24/2008 2:35|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Shake 'Em On Down
642692|9/24/2008 2:35|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Poor Boy *
642698|9/24/2008 2:38|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Shake (Yo Mama) 
642699|9/24/2008 2:39|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|I'd Love To Be A Hippy
642700|9/24/2008 2:39|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|In My Time of Dying *
642701|9/24/2008 2:40|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|All Night Long  Lovelight  All Night Long 
642702|9/24/2008 2:41|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Stray Cat Blues *
642703|9/24/2008 2:41|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Snake Drive  Mississippi Party  Snake Drive *
642704|9/24/2008 2:42|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Skinny Woman
642705|9/24/2008 2:42|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Everybody Needs Somebody To Love 
642706|9/24/2008 2:42|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Dixie Fried*
642707|9/24/2008 2:43|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Eaglebird 
642708|9/24/2008 2:44|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|No Mo
642709|9/24/2008 2:45|BARACK 'N' ROLL|Bucky Lewis|Half-Breed
642710|9/24/2008 2:46|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Meet Me In The City *
642711|9/24/2008 2:48|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Po Black Maddie 
642712|9/24/2008 2:49|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Psychedelic Sex Machine
642713|9/24/2008 2:50|THERESA ANDERSSON|TheresaAndersson|Birds Fly Away
642714|9/24/2008 2:50|THERESA ANDERSSON|TheresaAndersson| Innan Du Gar
642715|9/24/2008 2:50|American Recording Studios|Elvis Presley|Pop/Rock, Suspicious Minds
642717|9/24/2008 2:51|American Recording Studios|B.J. Thomas|Pop/Rock, Hooked On A Feeling
642716|9/24/2008 2:51|Bootleg Justice: North Mississippi All-Stars Live @ Recher Theater in Towson, MD (5.18.2008)|North Mississippi Allstars|Sugartown
642718|9/24/2008 2:51|American Recording Studios|Neil Diamond|Pop/Rock, Brother Love's Travelling Salvation Show
