fileid|datesaved|posttitle|artist|song
642719|9/24/2008 2:52|American Recording Studios|Box Tops|Pop/Rock, Cry Like A Baby
642721|9/24/2008 2:52|American Recording Studios|Joe Tex|I Gotcha
642720|9/24/2008 2:52|American Recording Studios|Neil Diamond|Pop/Rock, Holly Holy (Single Version)
642723|9/24/2008 2:53|American Recording Studios|Joe Tex|R&B, Skinny Legs And All
642722|9/24/2008 2:53|American Recording Studios|Elvis Presley|Pop/Rock, Kentucky Rain
642724|9/24/2008 2:54|Of Montreal|Of Montreal|Gallery Piece
642725|9/24/2008 2:54|AD Presents :: Mission of Burma, Echoplex 9.25.08|Mission of Burma|Learn How
642726|9/24/2008 2:54|AD Presents :: Mission of Burma, Echoplex 9.25.08|Mission of Burma|Dead Pool
642727|9/24/2008 2:55|My 20 Favorite Hip-Hop Albums EVER! #19|Aesop Rock|No Regrets
642728|9/24/2008 2:55|My 20 Favorite Hip-Hop Albums EVER! #19|Aesop Rock|Daylight
642729|9/24/2008 2:56|My 20 Favorite Hip-Hop Albums EVER! #19|Aesop Rock|The Yes And The Y'all
642730|9/24/2008 2:56|My 20 Favorite Hip-Hop Albums EVER! #19|Aesop Rock|9-5ers Anthem
642731|9/24/2008 2:57|Southside Johnny & The Asbury Jukes: Paradiso 2008/10/10 webcast |Southside Johnny & The Asbury Jukes|Talk To Me
642732|9/24/2008 2:57|My 20 Favorite Hip-Hop Albums EVER! #19|Aesop Rock|Flashflood
642733|9/24/2008 2:58|More MySpace-Ramblings||veldt - walking in silence
642734|9/24/2008 2:59|Pure Santogold|Santogold|Shuv It (Disco D Blend)
642735|9/24/2008 2:59|More MySpace-Ramblings|Helen Stellar|Our Secrets
642736|9/24/2008 3:00|Daily Dose Deux|Das Pop|http://blog.datasapiens.net, Underground (Busy P Remix)
642737|9/24/2008 3:01|Daily Dose Deux|Of Montreal|Jimmy (M.I.A. cover)
642738|9/24/2008 3:02|Daily Dose Deux|Marseille|Dark Step
642739|9/24/2008 3:04|Daily Dose Deux|Depeche Mode|The Darkest Star (Holden Dub)
642740|9/24/2008 3:05|Raashan Ahmad|Mission|Contagious
642741|9/24/2008 3:05|Mickey Factz Wants YOU!|Mickey Factz|Africa ft D'Anglelo
642742|9/24/2008 3:08|MUSIC, NOT LOVE, IS THE DRUG|McAlmont and Butler|Falling
642743|9/24/2008 3:11|True Pseudo remix MGMT’s ‘Electric Feel’ + colaborate with Buddy Akai & Whiskey Pete|True Pseudo|Freaking Me Out
642744|9/24/2008 3:12|True Pseudo remix MGMT’s ‘Electric Feel’ + colaborate with Buddy Akai & Whiskey Pete|MGMT|Electric Feel (True Pseudo Remix)
642746|9/24/2008 3:17|7-inch serie, deel 467|Nuevo Catecismo Catlico|Why She's a Girl from the Chainstore?
642747|9/24/2008 3:17|7-inch serie, deel 467|Nuevo Catecismo Catlico|Yo no soy el que tu estabas buscando
642749|9/24/2008 3:18|Artist Spotlight: Kirsten Price|Kirsten Price|Magic Tree
642750|9/24/2008 3:18|Artist Spotlight: Kirsten Price|Kirsten Price|Freedom
642751|9/24/2008 3:18|Artist Spotlight: Kirsten Price|Kirsten Price|Fall
642748|9/24/2008 3:18|7-inch serie, deel 467|Nuevo Catecismo Catlico|No quiero obedecer
642752|9/24/2008 3:19|Artist Spotlight: Kirsten Price|Kirsten Price|Crazy Beautiful
642753|9/24/2008 4:14|Vous allez ignorer ce disque|Burt Bacharach|Freefall
642754|9/24/2008 4:14|Vous allez ignorer ce disque|Burt Bacharach|Nikki
642755|9/24/2008 4:15|Vous allez ignorer ce disque|Kimya Dawson|Lovie
642757|9/24/2008 4:16|Vous allez ignorer ce disque|Forest Fire|I Make Windows
642756|9/24/2008 4:16|Vous allez ignorer ce disque|Franois Virot|Cascade kisses
642758|9/24/2008 4:16|Vous allez ignorer ce disque|Francois Virot|Hard Knock Life
642759|9/24/2008 4:17|Vous allez ignorer ce disque|Micah P. Hinson|Tell Me It Ain't So
642760|9/24/2008 4:17|Vous allez ignorer ce disque|Micah P. Hinson|The Fire Came Up To My Knees
642762|9/24/2008 4:18|Vous allez ignorer ce disque|Forest Fire|Echoes Coming
642763|9/24/2008 4:18|Vous allez ignorer ce disque|Forest Fire|Promise
642761|9/24/2008 4:18|Vous allez ignorer ce disque|Kimya Dawson|Seven Hungry Tigers
642764|9/24/2008 4:19|Vous allez ignorer ce disque|Franois Virot|I wish I had you
642765|9/24/2008 4:19|Vous allez ignorer ce disque|Burt Bacharach|Hasbrook Heights
642767|9/24/2008 4:21|Walter Meego Forever Remixed!||Forever (Dept. 2am Remix)
642768|9/24/2008 4:21|Walter Meego Forever Remixed!|Walter Meego|Forever (Escort Remix)
642769|9/24/2008 4:22|Walter Meego Forever Remixed!||Forever (Dept. 6am Remix)
642770|9/24/2008 4:22|neue töne (413): hobotalk|Hobotalk|I Wait For You
642771|9/24/2008 4:22|neue töne (413): hobotalk||DateWithGrace-1
642772|9/24/2008 4:22|neue töne (413): hobotalk|Hobotalk|Today
642773|9/24/2008 4:23|neue töne (413): hobotalk|Hobotalk|Little Light
642774|9/24/2008 4:25|Cristina Donà - Report on the road|Cristina Don|Intervista (live at Maps)
642775|9/24/2008 4:57|Rico Uno - All Over Mixtape|The Osmonds|One Bad Apple (U-Tern's Bucket Mix)
642776|9/24/2008 5:00|Wonkavision: O Ímpar Perfeito|Wonkavision|O mpar Perfeito
642777|9/24/2008 5:10|Free Music Charts September 2008|On Wave|Be My Killer
642778|9/24/2008 5:11|Free Music Charts September 2008|Hazmat|The Beginning
642779|9/24/2008 5:12|Little Boots: Time To Pretend + Ready For The Floor|Little Boots|Ready For The Floor (Hot Chip Cover)
642780|9/24/2008 5:12|Ten Kens - S/T|Ten Kens|Fatcat Records, Your Kids Will Know
642781|9/24/2008 5:13|Mother South by mediocre|Appalachian Hunger|Mother South
642782|9/24/2008 5:14|Break Out the Beakers|TV On The Radio|Stork And Owl
642783|9/24/2008 5:15|On Abandonment|Cold War Kids|I've Seen Enough
642785|9/24/2008 6:10|Amy Kuney|Amy Kuney|Love Is Trippy
642784|9/24/2008 6:10|Yes, I Was A Theater Kid In High School (2.0)|Maury Yeston|07 Barrett's Song.mp3
642786|9/24/2008 6:11|Yes, I Was A Theater Kid In High School (2.0)|Maury Yeston|The Blame
642787|9/24/2008 6:11|09/23/08 BIRN Playlist|Headlights|01 Tokyo.mp3
642788|9/24/2008 6:11|09/23/08 BIRN Playlist|Headlights|01 Get Your Head Around It.mp3
642789|9/24/2008 6:12|09/23/08 BIRN Playlist|Ryan Adams|Carolina Rain
642790|9/24/2008 6:13|Peter Bjorn and WHAAAT!?|Peter Bjorn And John|Next Stop Bjursele
642791|9/24/2008 6:13|Eerie: This Has Never Been|Eerie|This Has Never Been
642792|9/24/2008 6:14|Amiina: Leather and Lace (Lee Hazlewood Cover)|Amiina|Leather and Lace (Lee Hazlewood Cover)
642793|9/24/2008 6:15|Peter Bjorn and WHAAAT!?|Peter Bjorn And John|Say Something (Mukiya)
642794|9/24/2008 6:19|New Band Day: La Shark|La Shark|La Shark - Bones (mix)
642795|9/24/2008 6:19|Cover van de week: Dream Bitches|Dream Bitches|Maniacal Mechanic
642796|9/24/2008 6:20|Cover van de week: Dream Bitches|Dream Bitches|Me and the Major
642797|9/24/2008 6:23|Album Review: Those Dancing Days|Those Dancing Days|Hitten
642798|9/24/2008 6:24|Bizzy|Diplo & Buraka Som Sistema|Inna De Ghetto (Remix)
642799|9/24/2008 6:28|DO U FEEL LIKE I DO?|Social Junk|New Year's Man
642800|9/24/2008 6:29|Tonight In The A: The Mars Volta, Sunset Rubdown, Indian Jewelry, Tree Creature|The Mars Volta|Agadez
642801|9/24/2008 6:31|Tonight In The A: The Mars Volta, Sunset Rubdown, Indian Jewelry, Tree Creature|TreeCreature|Nautilus Now Silver Implodes
642804|9/24/2008 6:32|Fascinated with The Faint|The Faint|Fish In A Womb
642802|9/24/2008 6:32|Tonight In The A: The Mars Volta, Sunset Rubdown, Indian Jewelry, Tree Creature|Sunset Rubdown|The Taming of the Hands That Came Back to Life
642803|9/24/2008 6:32|Tonight In The A: The Mars Volta, Sunset Rubdown, Indian Jewelry, Tree Creature|Indian Jewelry|Dirty Hands
642805|9/24/2008 6:33|The Run Down - Wednesday September 24, 2008|Bridges And Powerlines|New Mexico
642807|9/24/2008 6:33|The Run Down - Wednesday September 24, 2008|Throw Me The Statue|The Old Believer
642806|9/24/2008 6:33|The Run Down - Wednesday September 24, 2008|The Broken West|Auctioneer
642809|9/24/2008 6:34|The Run Down - Wednesday September 24, 2008|Miniature Tigers|Mamma Mia (Abba Cover)
642811|9/24/2008 6:34|The Run Down - Wednesday September 24, 2008|Clap Your Hands Say Yeah|Details of the War
642812|9/24/2008 6:34|Land Of The Rising Rave|Black kids|I'm Not Gonna Teach Your Boyfriend ... (80kidz Remix) 160
642808|9/24/2008 6:34|The Run Down - Wednesday September 24, 2008|Mock Orange|Song In D
642813|9/24/2008 6:35|Soulwax Likes Truckers Delight!|Flairs|Truckers Delight
642814|9/24/2008 6:36|Land Of The Rising Rave|80kidz|www.myspace.com/80kidz, 04 Life Begins At Eighty
642815|9/24/2008 6:53|Sway Live & New Mixtape to Download|Jukey|Way We Go ft. Sway (Snippet)
642816|9/24/2008 6:54|Sway Live & New Mixtape to Download|Sway|Back To Basics ft. Giggs
642817|9/24/2008 6:54|Sway Live & New Mixtape to Download|Sway|Jason Waste (Snippet with Intro)
642818|9/24/2008 6:55|Sway Live & New Mixtape to Download|Sway|Stereo (Snippet)
642819|9/24/2008 6:55|Sway Live & New Mixtape to Download|Lloyd|How We Do In The UK ft. Sway
642820|9/24/2008 6:56|Bottom Feeders: The Ass End of the ’80s, Part 26|Thomas Dolby|Hyperactive
642821|9/24/2008 6:56|Bottom Feeders: The Ass End of the ’80s, Part 26|THE DOOBIE BROTHERS|WYNKEN, BLYNKEN AND NOD
642822|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|D-Train|D-Train Theme
642825|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|Thomas Dolby|Europa And The Pirate Twins
642823|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|The Doobie Brothers|You Belong To Me (live)
642824|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|The Doobie Brothers|Keep This Train A-Rollin'
642826|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|J.D. Drews|Don't Want No-Body
642827|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|Dr. Hook|That Didn't Hurt Too Bad
642828|9/24/2008 6:57|Bottom Feeders: The Ass End of the ’80s, Part 26|Dr Hook|Years From Now
642833|9/24/2008 6:58|Bottom Feeders: The Ass End of the ’80s, Part 26|Double Image|Night Pulse
642829|9/24/2008 6:58|Bottom Feeders: The Ass End of the ’80s, Part 26|The Doors|Gloria
642830|9/24/2008 6:58|Bottom Feeders: The Ass End of the ’80s, Part 26|Joe Dolce|Shaddap You Face
642831|9/24/2008 6:58|Bottom Feeders: The Ass End of the ’80s, Part 26|D-Train|Something's On Your Mind
642832|9/24/2008 6:58|Bottom Feeders: The Ass End of the ’80s, Part 26|The Doolittle Band|Who Were You Thinkin' Of
642838|9/24/2008 6:59|Bottom Feeders: The Ass End of the ’80s, Part 26|Dr. Hook|Loveline
642836|9/24/2008 6:59|Bottom Feeders: The Ass End of the ’80s, Part 26|Doobie Brothers|Here To Love You
642834|9/24/2008 6:59|Bottom Feeders: The Ass End of the ’80s, Part 26|The Doobie Brothers|Need A Little Taste Of Love
642837|9/24/2008 6:59|Bottom Feeders: The Ass End of the ’80s, Part 26|Dollar|Shooting Star
642835|9/24/2008 6:59|Bottom Feeders: The Ass End of the ’80s, Part 26|Dragon|Rain
642840|9/24/2008 7:00|BAMBOO TREES FOR SALE|Sufjan Stevens|All the Trees of the Field Will Clap Their Hands
642839|9/24/2008 7:00|BAMBOO TREES FOR SALE|Miracle Fortress|Little Trees
642841|9/24/2008 7:01|"Last to Remain Operation Beatdown"" CD"""|Last to Remain|When the Smoke Clears
642843|9/24/2008 7:02|Love In The Year 3000, $700B Bailout In The Year 2008|The B-52s|Love In The Year 3000
642842|9/24/2008 7:02|Sway Live & New Mixtape to Download|Sway|My Kind of Girl ft. 2face Idibia (Snippet)
642845|9/24/2008 7:08|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|The Be Good Tanyas|Reuben
642844|9/24/2008 7:08|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Greg Brown|Real Good Friend
642846|9/24/2008 7:09|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Wilco|Jesus, Etc.
642847|9/24/2008 7:10|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Ben Harper|Mama's Got A Girlfriend Now
642848|9/24/2008 7:11|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Dar Williams|The Mercy Of The Fallen
642850|9/24/2008 7:12|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Norah Jones|Come Away With Me
642849|9/24/2008 7:12|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Dan Bern|Baby Bye Bye
642851|9/24/2008 7:13|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Martin Sexton|The Beast In Me
642852|9/24/2008 7:14|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|The Duke of Straw|(Theme from) Ruff and Tuff Movie Buffs
642853|9/24/2008 7:15|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Peter Gabriel|Growing Up
642854|9/24/2008 7:16|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Ani DiFranco & Jackie Chan|Unforgetable
642855|9/24/2008 7:17|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Sarah Harmer|Lodestar
642856|9/24/2008 7:18|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Lamya|Empires
642857|9/24/2008 7:19|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Essence|Sleeping With The Driver
642858|9/24/2008 7:21|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Shannon McNally|I'll Always Be Around
642859|9/24/2008 7:21|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Sex Mob|Black & Tan Fantasy
642860|9/24/2008 7:22|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Gillian Welch|Everything Is Free Now
642861|9/24/2008 7:23|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Bob Dylan|It's All Over Now Baby Blue
642862|9/24/2008 7:23|Wayback Wednesdays & Mix Week ∞ Wild West Whip Cream Wednesday|Jay|What I Want You To Do
642863|9/24/2008 7:24|Neimo|Neimo|Johnny five
642864|9/24/2008 7:24|Neimo|Neimo|Can you call me ?
642865|9/24/2008 7:24|Neimo|Neimo|Lines
642866|9/24/2008 7:25|the new All Girl Summer Fun Band|The Donnas|Do You Wanna Go Out With Me
642867|9/24/2008 7:26|the new All Girl Summer Fun Band|The Breeders|Iris (live)
642868|9/24/2008 7:26|the new All Girl Summer Fun Band|All Girl Summer Fun Band|Rewind
642869|9/24/2008 7:26|the new All Girl Summer Fun Band|All Girl Summer Fun Band|Not The One For Me
642871|9/24/2008 8:10|Blast from the Past: Pearl Jam's Vitalogy|Pearl Jam|Nothingman
642872|9/24/2008 8:10|Blast from the Past: Pearl Jam's Vitalogy|Pearl Jam|Betterman
642870|9/24/2008 8:10|Blast from the Past: Pearl Jam's Vitalogy|Pearl Jam|Bugs
642873|9/24/2008 8:11|Blast from the Past: Pearl Jam's Vitalogy|Pearl Jam|Spinthe black circle
642874|9/24/2008 8:11|Blast from the Past: Pearl Jam's Vitalogy|Pearl Jam|Corduroy
642875|9/24/2008 8:12|Interviews:: herohill hearts music vs. Dave Ullrich|Inbreds|Any Sense of Time
642876|9/24/2008 8:12|Interviews:: herohill hearts music vs. Dave Ullrich|Inbreds|Sad Sack
642877|9/24/2008 8:13|Interviews:: herohill hearts music vs. Dave Ullrich|Inbreds|Amelia Earhart
642878|9/24/2008 8:14|The Midwest Dilemma - Timelines & Tragedies|Midwest Dilemma|Chicago And North Western
642879|9/24/2008 8:14|The Midwest Dilemma - Timelines & Tragedies|Midwest Dilemma|Francoise
642880|9/24/2008 8:20|10 REASONS EVERYBODY'S COVERIN' HARRY NILLSON|Kevin B. Selby|Everybody's Talkin'
642881|9/24/2008 8:22|10 REASONS EVERYBODY'S COVERIN' HARRY NILLSON|Danny Schmidt & Paul Curreri|Blame Love-Everybody's Talkin'
642882|9/24/2008 8:22|10 REASONS EVERYBODY'S COVERIN' HARRY NILLSON|Bob Walkenhorst|08d2t08 vbr
642883|9/24/2008 8:23|Daily Downloads (Theresa Andersson, Friendly Fires, and more)|Theresa Andersson|Birds Fly Away
642884|9/24/2008 8:23|Daily Downloads (Theresa Andersson, Friendly Fires, and more)|Telefon Tel Aviv|Helen of Troy
642885|9/24/2008 8:25|Daily Downloads (Theresa Andersson, Friendly Fires, and more)|BottleUpGo|Wayward Son
642886|9/24/2008 8:25||kinky|A Donde Van Los Muertos?
642887|9/24/2008 8:26||Walter Meego|Forever (Van She Tech Remix)
642888|9/24/2008 8:29|Niyi|Niyi|808 Klap
642889|9/24/2008 8:30|Niyi|Niyi|Ameilia
642890|9/24/2008 8:32|Sideway Hover|Shakedown|Solid Bump, At Night (DreDay Rmx)
642892|9/24/2008 8:33|Constant|Peedi Crakk|More Towels
642891|9/24/2008 8:33|Sideway Hover|Computer Rockers|Solid Bump Records, Tech-no-Rock (DreDay Rmx)
642893|9/24/2008 8:35|Wonderfulsound #5|Wonderfulsound|The Portobello Rd 1969
642894|9/24/2008 8:37|Much against everyone's advice|Soulwax|Saturday Meets Billie Jean
642895|9/24/2008 8:39|Much against everyone's advice|Soulwax|E-Talking
642896|9/24/2008 8:39|Much against everyone's advice|Soulwax|Pop Life (Live)
642897|9/24/2008 8:43|Les justiciers milliaaaardaiiiiiires|Justice|Planisphre (Part 1)
